Keys,English,Vietnamese,Chinese (Simplified),$Chinese (Traditional),Japanese,French,German,Spanish,Portuguese [pt-PT],Arabic,Russian,Korean,Italian,Hindi,Philipine [tl],Indo,Thai,Turkis
TXT_DMG_PER_CURRENT_HP_PERCENT,Damage / Current HP (%),Sát Thương / Máu Hiện Tại (%),伤害/当前生命值(%),傷害/當前生命值(%),ダメージ / 現在の HP (%),Dégâts / PV Actuels (%),Schaden / Aktuelle PS (%),Daño / Hp Actual (%),Dano/HP Atual (%),الضرر / حصان الحالي (٪),Урон/Текущее Количество Здоровья (%),데미지 / 현재 HP (%),Danno/HP Attuali (%),क्षति/वर्तमान एचपी (%),Pinsala / Kasalukuyang Hp (%),Kerusakan/Hp Saat Ini (%),ความเสียหาย / HP ปัจจุบัน (%),Hasar / Mevcut Hp (%)
TXT_DMG_PER_MAX_HP_PERCENT,DMG / Max HP (%),Sát Thương / Máu Tối Đa (%),伤害/最大生命值 (%),傷害/最大生命值 (%),ダメージ / 最大 HP (%),Dégâts / PV Max (%),Schaden / Maximale PS (%),Daño/HP Máximo (%),Dano / HP Máximo (%),الضرر / الحد الأقصى للحصان (٪),Урон / Макс. Хп (%),데미지 / 최대 HP (%),Danno/HP Max (%),क्षति/अधिकतम एचपी (%),Pinsala / Max Hp (%),Kerusakan / Hp Maks (%),ความเสียหาย / HP สูงสุด (%),Hasar / Maksimum Hp (%)
TXT_DMG_UP,DMG Up,Sát Thương Tăng,伤害上升,傷害上升,ダメージアップ,Endommager,Schaden Anrichten,Daño Hasta,Danificar,يصل الضرر,Повредить,피해를 입다,Danni,नुकसान उठाना,Masira,Merusak,สร้างความเสียหายขึ้น,Hasar Vermek
TXT_DMG_UP_PERCENT,DMG Up (%),Sát Thương Tăng (%),伤害增加(%),傷害增加(%),ダメージアップ(%),Dégâts En Hausse (%),Schaden Erhöht (%),Daño Hasta (%),Danificar (%),الضرر يصل (٪),Увеличение Урона (%),데미지 증가(%),Danno In Aumento (%),क्षति (%),Tumaas Ang Pinsala (%),Kerusakan (%),ความเสียหายเพิ่มขึ้น (%),Hasar Arttı (%)
TXT_DONT_REMIND_ME_AGAIN_TODAY,Don't remind me again today.,Hôm nay đừng nhắc tôi nữa.,今天别再提醒我了。,,今日はもう思い出さないでください。,Ne me le rappelle plus aujourd'hui.,Erinnere mich heute nicht mehr daran.,No me lo recuerdes más hoy.,Não me lembre novamente hoje.,لا تذكرني مرة أخرى اليوم.,Не напоминай мне больше сегодня.,오늘은 다시 알림을 보내지 마세요.,Non ricordarmelo più oggi.,आज फिर मुझे याद मत दिलाना.,Huwag mo na akong ipaalala ulit ngayon.,Jangan ingatkan aku lagi hari ini.,วันนี้อย่าเตือนฉันอีก,Bugün bana bir daha hatırlatma.
TXT_DROP_RATE,Drop Rate,Tỷ Lệ Rơi,掉落率,掉落率,ドロップ率,Le Taux D'abandon,Fallgeschwindigkeit,Tasa De Abandono,Taxa De Queda,معدل الانخفاض,Шанс Выпадения,드랍율,Tasso Di Caduta,गिरने की दर,Drop Rate,Tingkat Penurunan,อัตราการลดลง,Düşme Oranı
TXT_DURATION,Duration (seconds),Thời Lượng (giây),持续时间（秒）,持續時間（秒）,継続時間 (秒),Durée (secondes),Dauer (sekunden),Duración (segundos),Duração (segundos),المدة (بالثواني),продолжительность (секунды),기간(초),Durata (secondi),अवधि (सेकंड),Tagal (segundo),Durasi (detik),ระยะเวลา (วินาที),Süre (saniye)
TXT_DURATION_SEC,Duration (sec),Thời Lượng (giây),持续时间（秒）,持續時間（秒）,継続時間 (秒),Durée (s),Dauer (sek.),Duración (seg),Duração (seg),المدة (ثانية),продолжительность (сек),기간(초),Durata (sec),अवधि (सेकंड),Tagal (seg),Durasi (detik),ระยะเวลา (วินาที),Süre (sn)
TXT_EDIT,Edit,Chỉnh Sửa,编辑,,編集,Édition,Bearbeiten,Editando,Editando,التحرير,Редактирование,편집,Modifica,संपादन,Pag-Edit,Mengedit,การแก้ไข,Düzenleme
TXT_EDITNAME,Edit Name,Sửa Tên,编辑姓名,,名前を編集する,Modifier Le Nom,Namen Bearbeiten,Editar Nombre,Editar Nome,تحرير الاسم,Изменить Имя,이름 수정,Modifica Nome,नाम संपादित करें,I-Edit Ang Pangalan,Edit Nama,แก้ไขชื่อ,Adı Düzenle
TXT_EDIT_AVATAR,Edit Avatar,Thay Đổi Avatar,编辑头像,,アバターを編集する,Modifier L'avatar,Avatar Bearbeiten,Editar Avatar,Editar Avatar,تحرير الصورة الرمزية,Изменить Аватар,아바타 편집,Modifica L'avatar,अवतार संपादित करें,I-Edit Ang Avatar,Mengedit Avatar,แก้ไขอวตาร,Avatarı Düzenle
TXT_EGG_HP_PERCENT,Egg HP (%),Máu Trứng (%),蛋生命 (%),雞蛋馬力 (%),卵のHP (%),Oeuf Hp (%),Ei PS (%),CV De Huevo (%),Ovo Hp (%),حصان البيض (٪),Здоровье Яйца (%),계란 HP(%),Uovo Hp (%),अंडा अश्वशक्ति (%),Itlog Hp (%),Telur Hp (%),แรงม้าไข่ (%),Yumurta Hp (%)
TXT_ELITE_PACK,Elite Pack,Gói Ưu Tú,精英包,,エリートパック,Meute D'élite,Elite-Paket,Paquete De Élite,Pacote De Elite,حزمة النخبة,Элитный Пакет,엘리트 팩,Pacchetto D'élite,कुलीन पैक,Elite Pack,Paket Elit,แพ็คชั้นสูง,Elit Paket
TXT_EMOJI,Emoji,Emoji,表情符号,,絵文字,Émoticône,Emoji,Emojis,Emoticons,Com.Emoji,Смайлик,이모티콘,Emoji,इमोजी,Emoji,Emoji,อีโมจิ,Emoji
TXT_EMOTE,Emote,Biểu Cảm,表情,表情,エモート,Emote,Emote,Ser Emocionado,Emocionar,تعبيرات,Эмоция,감정을 표현하다,Emoticon,भाव का प्रकट,Mag-Emote,Emosi,แสดงอารมณ์,Ifade
TXT_EMPTY,Empty,Trống,空的,,空の,Vide,Leer,Vacío,Vazio,فارغ,Пустой,비어 있는,Vuoto,खाली,Walang Laman,Kosong,ว่างเปล่า,Boş
TXT_ENDS_IN,Ends in,Kết thúc sau,结束于,結束於,で終わる,Fini dans,Endet in,Termina en,Termina em,ينتهي بـ,Заканчивается в,종료,Finisce tra,में समाप्त,Nagtatapos sa,Berakhir di,สิ้นสุดใน,biter
TXT_ENEMY_ATK_SPD_DOWN_PERCENT,Enemy ATK Speed Down (%),Tốc Độ Tấn Công Của Kẻ Địch Giảm (%),敌人攻击速度下降(%),敵人攻擊速度下降(%),敵の攻撃速度ダウン(%),Vitesse D'attaque Ennemie Réduite (%),Angriffsgeschwindigkeit Des Feindes Verringert (%),Velocidad De Ataque Enemigo Reducida (%),Velocidade De Ataque Inimigo Reduzida (%),انخفاض سرعة هجوم العدو (%),Скорость Атаки Противника Снижена (%),적 공격 속도 감소(%),Velocità Di Attacco Nemico Ridotta (%),दुश्मन के हमले की गति कम (%),Ang Bilis Ng Pag-Atake Ng Kaaway Ay Bumaba (%),Kecepatan Serangan Musuh Turun (%),ความเร็วการโจมตีของศัตรูลดลง (%),Düşman Saldırı Hızı Azaldı (%)
TXT_ENTER,Enter,Tìm Trận,进入,進入,入力,Entrer,Eingeben,Ingresar,Digitar,يدخل,Входить,입력하다,Accedere,प्रवेश करना,Pumasok,Memasuki,เข้า,Girmek
TXT_ENTER_CODE,Enter Code,Nhập Mã,输入代码,輸入代碼,コードを入力する,Entrez Le Code,Code Eingeben,Introduzca El Código,Coloque O Código,ادخل الرمز,Введите Код,코드를 입력,Inserisci Il Codice,कोड दर्ज करें,Ilagay Ang Code,Memasukkan Kode,ใส่รหัส,Kodu Girin
TXT_ENTER_COUPON_CODE,Enter Coupon Code,Nhập Mã Quà Tặng,输入优惠券代码,輸入優惠券代碼,クーポンコードを入力してください,Entrer Le Code De Réduction,Gutschein-Code Eingeben,Introduce El Código De Cupón,Digite O Código Do Cupom,أدخل رمز القسيمة,Введите Код Купона,쿠폰 코드 입력,Inserire Il Codice Coupon,परचा कूट दर्ज करें,Ilagay Ang Code Ng Kupon,Masukkan Kode Kupon,ใส่รหัสคูปอง,Kupon Kodunu Girin
TXT_ENTER_NAME,Enter name...,Nhập tên...,输入名字...,輸入名字...,名前を入力...,Entrez le nom...,Name eingeben...,Ingrese su nombre...,Insira o nome...,أدخل الاسم...,Введите имя...,이름을 입력하시오...,Inserisci il nome...,नाम दर्ज करें...,Ilagay ang pangalan...,Masukkan nama...,ใส่ชื่อ...,İsim giriniz...
TXT_ENTER_NEW_NICKNAME,Enter new nickname,Nhập tên mới,输入新昵称,輸入新暱稱,新しいニックネームを入力してください,Entrer un nouveau pseudo,Geben Sie einen neuen Spitznamen ein,Introduce un nuevo apodo,Insira o novo apelido,أدخل اسم مستعار جديد,Введите новый псевдоним,새 닉네임을 입력하세요.,Inserisci un nuovo nickname,नया उपनाम दर्ज करें,Maglagay ng bagong palayaw,Masukkan nama panggilan baru,ป้อนชื่อเล่นใหม่,Yeni takma ad girin
TXT_ENTER_PRICE,Enter price,Nhập giá,输入价格,,価格を入力してください,Entrez le prix,Geben Sie den Preis ein,Introduce el precio,Insira o preço,أدخل السعر,Введите цену,가격을 입력하세요,Inserisci il prezzo,कीमत दर्ज करें,Ilagay ang presyo,Masukkan harga,ใส่ราคา,Fiyatı girin
TXT_ENTER_PRICE_OF_EACH_CARD,Enter price of each card,Nhập giá mỗi thẻ,输入每张卡的价格,,各カードの価格を入力してください,Entrez le prix de chaque carte,Geben Sie den Preis für jede Karte ein,Introduce el precio de cada tarjeta.,Insira o preço de cada cartão,أدخل سعر كل بطاقة,Введите цену каждой карты,각 카드의 가격을 입력하세요.,Inserisci il prezzo di ciascuna carta,प्रत्येक कार्ड का मूल्य दर्ज करें,Ilagay ang presyo ng bawat card,Masukkan harga setiap kartu,ใส่ราคาของบัตรแต่ละใบ,Her kartın fiyatını girin
TXT_ENTER_THE_CODE,Enter the Code for Friendly Match.,Nhập mã cho trận đấu giao hữu.,输入友谊赛代码。,輸入友誼賽代碼。,フレンドリーマッチのコードを入力してください。,Entrez le code du match amical.,Geben Sie den Code für ein Freundschaftsspiel ein.,Ingresa el Código para Partido Amistoso.,Digite o código para amistoso.,أدخل رمز المباراة الودية.,Введите код товарищеского матча.,친선 경기 코드를 입력하세요.,Inserisci il codice per l'amichevole.,मैत्रीपूर्ण मैच के लिए कोड दर्ज करें.,Ilagay ang Code para sa Friendly Match.,Masukkan Kode Pertandingan Persahabatan.,ป้อนรหัสสำหรับการแข่งขันกระชับมิตร,Dostluk Maçı için Kodu girin.
TXT_ENTER_THE_RECIPIENTS_ADDRESS,Enter the recipient's address,Nhập địa chỉ người nhận,输入收件人地址,,受信者のアドレスを入力してください,Entrez l'adresse du destinataire,Geben Sie die Adresse des Empfängers ein,Introduzca la dirección del destinatario,Insira o endereço do destinatário,أدخل عنوان المستلم,Введите адрес получателя,받는 사람의 주소를 입력하세요,Inserisci l'indirizzo del destinatario,प्राप्तकर्ता का पता दर्ज करें,Ilagay ang address ng tatanggap,Masukkan alamat penerima,ป้อนที่อยู่ของผู้รับ,Alıcının adresini girin
TXT_ENTER_YOUR_BID,Enter your bid,Nhập giá thầu của bạn,输入您的出价,,入札額を入力してください,Entrez votre enchère,Geben Sie Ihr Gebot ein,Ingrese su oferta,Insira seu lance,أدخل عرضك,Введите свою ставку,입찰가를 입력하세요,Inserisci la tua offerta,अपनी बोली दर्ज करें,Ilagay ang iyong bid,Masukkan tawaran Anda,ป้อนการเสนอราคาของคุณ,Teklifinizi girin
TXT_ENTER_YOUR_SUGGESTED_PRICE,Enter your suggested price,Nhập giá đề xuất của bạn,输入您的建议价格,,希望価格を入力してください,Entrez votre prix suggéré,Geben Sie Ihren vorgeschlagenen Preis ein,Ingresa tu precio sugerido,Insira seu preço sugerido,أدخل السعر المقترح,Введите рекомендованную цену,제안 가격을 입력하세요,Inserisci il prezzo suggerito,अपना सुझाया गया मूल्य दर्ज करें,Ilagay ang iyong iminungkahing presyo,Masukkan harga yang Anda sarankan,ป้อนราคาที่แนะนำของคุณ,Önerilen fiyatınızı girin
TXT_EQUIPPED,Equipped,Đã Trang Bị,装备齐全,裝備齊全,装備されている,Équipé,Ausgestattet,Equipado,Equipado,مسلح,Оборудованный,갖추게 하는,Attrezzato,लैस,May Gamit,Lengkap,พร้อม,Donanımlı
TXT_ERROR,[Error]:,[Lỗi]:,[错误]：,[錯誤]：,[エラー]：,[Erreur]:,[Fehler]:,[Error]:,[Erro]:,[خطأ]:,[Ошибка]:,[오류]:,[Errore]:,[गलती]:,[Error]:,[Kesalahan]:,[ข้อผิดพลาด]:,[Hata]:
TXT_EST_REWARDS,Est. Rewards,Phần Thưởng Ước Tính,预计奖励,,推定報酬,Est. Récompenses,Geschätzte Belohnungen,Recompensas Estimadas,Estimativa De Recompensas,Est.Rewards,Примерное Вознаграждение,예상 보상,Premi Stimati,अनुमानित पुरस्कार,Tinatayang Mga Gantimpala,Est.Reward,ประมาณผลตอบแทน,Tahmini Ödüller
TXT_EVENT,Event,Sự Kiện,事件,,イベント,Événement,Ereignis,Evento,Evento,حدث,Событие,이벤트,Evento,आयोजन,Kaganapan,Peristiwa,เหตุการณ์,Etkinlik
TXT_EVEN_DMG_DOWN_PERCENT,[Even] Damage Down (%),[Chẵn] Giảm Sát Thương (%),[偶数]伤害降低(%),[偶數]傷害降低(%),[偶数]ダメージダウン(%),[Même] Réduction Des Dégâts (%),[Sogar] Schaden Verringert (%),[Incluso] Daño Reducido (%),[Uniforme] Redução De Dano (%),[حتى] انخفاض الضرر (%),[Даже] Уменьшение Урона (%),[짝수] 데미지 감소(%),[Anche] Danni In Diminuzione (%),[यहां तक ​​कि] क्षति कम (%),[Kahit] Bumaba Ang Pinsala (%),[Bahkan] Kerusakan Turun (%),[เท่ากัน] ความเสียหายลดลง (%),[Çift] Hasar Azaldı (%)
TXT_EVEN_HP_UP_PERCENT,[Even] HP Up (%),[Chẵn] Hp Tăng (%),[偶数] Hp 增加 (%),[偶數] Hp 增加 (%),[偶数] HPアップ(%),[Pair] HP En Hausse (%),[Gerade Zahl] PS Mehr (%),[Par] Hp Aumentó (%),[Par] Aumento De HP (%),[الرقم الزوجي] حصان لأعلى (%),[Четное Число] Увеличение Здоровья (%),[짝수] Hp 업(%),[Numero Pari] CV Aumentati (%),[सम संख्या] एचपी ऊपर (%),[Even] Hp Pataas (%),[Angka Genap] Hp Naik (%),[เลขคู่] แรงม้าเพิ่มขึ้น (%),[Çift Sayı] Hp Artışı (%)
TXT_EXPERIMENT,Experiment,Cuộc Thí Nghiệm,实验,,実験,Expérience,Experiment,Experimento,Experimentar,تجربة,Эксперимент,실험,Sperimentare,प्रयोग,Eksperimento,Percobaan,การทดลอง,Deney
TXT_EXPIRATION_DATE,Expiration date,Ngày hết hạn,截止日期,,有効期限,Date d'expiration,Verfallsdatum,Fecha de expiración,Data de validade,تاريخ انتهاء الصلاحية,Дата окончания срока,만료일,Data di scadenza,समाप्ति तिथि,Petsa ng pag-expire,Kedaluwarsa,วันหมดอายุ,Son kullanma tarihi
TXT_EXPIRATION_DATE_DES,Until {x}. The auction will end automatically and the highest bidder will win.,Cho đến {x}. Phiên đấu giá sẽ tự động kết thúc và người trả giá cao nhất sẽ thắng.,直到{x}。拍卖将自动结束，出价最高者将获胜。,,{x}まで。オークションは自動的に終了し、最高額入札者が落札します。,Jusqu'au {x}. L'enchère se terminera automatiquement et le plus offrant gagnera.,Bis {x}. Die Auktion endet automatisch und der Höchstbietende gewinnt.,Hasta {x}. La subasta finalizará automáticamente y ganará el mejor postor.,Até {x}. O leilão terminará automaticamente e o licitante com lance mais alto vencerá.,حتى {س}. سينتهي المزاد تلقائيًا وسيفوز أعلى مزايد.,"До {x}. Аукцион завершится автоматически, и победит тот, кто предложит самую высокую цену.",{x}까지. 경매는 자동으로 종료되며 최고 입찰자가 낙찰됩니다.,Fino alle {x}. L'asta terminerà automaticamente e vincerà il miglior offerente.,{x} तक. नीलामी स्वतः समाप्त हो जाएगी और सबसे ऊंची बोली लगाने वाला जीत जाएगा।,Hanggang {x}. Awtomatikong magtatapos ang auction at ang pinakamataas na bidder ang manalo.,Sampai {x}. Lelang akan berakhir secara otomatis dan penawar tertinggi akan menang.,จนถึง {x} การประมูลจะสิ้นสุดโดยอัตโนมัติและผู้เสนอราคาสูงสุดจะเป็นผู้ชนะ,{x}'e kadar. Açık artırma otomatik olarak sona erecek ve en yüksek teklifi veren kazanacak.
TXT_EXPORT,Export,Xuất,出口,,輸出,Exporter,Export,Exportar,Exportar,يصدّر,Экспорт,내보내다,Esportare,निर्यात,I-Export,Ekspor,ส่งออก,Ihracat
TXT_EXPORT_NFT_DES,Are you sure you want to export this item?,Bạn có chắc chắn muốn xuất mặt hàng này không?,您确定要导出该商品吗？,,このアイテムをエクスポートしてもよろしいですか?,Êtes-vous sûr de vouloir exporter cet élément ?,"Sind Sie sicher, dass Sie dieses Element exportieren möchten?",¿Está seguro de que desea exportar este artículo?,Tem certeza de que deseja exportar este item?,هل أنت متأكد أنك تريد تصدير هذا العنصر؟,"Вы уверены, что хотите экспортировать этот элемент?",이 항목을 내보내시겠습니까?,Sei sicuro di voler esportare questo articolo?,क्या आप वाकई इस आइटम को निर्यात करना चाहते हैं?,Sigurado ka bang gusto mong i-export ang item na ito?,Apakah Anda yakin ingin mengekspor item ini?,คุณแน่ใจหรือไม่ว่าต้องการส่งออกรายการนี้,Bu öğeyi dışa aktarmak istediğinizden emin misiniz?
TXT_EXPORT_NOW,Export Now,Xuất Khẩu Ngay Bây Giờ,立即导出,,今すぐエクスポート,Exporter Maintenant,Jetzt Exportieren,Exportar Ahora,Exportar Agora,تصدير الآن,Экспортировать Сейчас,지금 내보내기,Esporta Ora,अभी निर्यात करें,I-Export Ngayon,Ekspor Sekarang,ส่งออกตอนนี้,Şimdi Ihracat Yap
TXT_FILTERS,Filters,Bộ Lọc,过滤器,,フィルター,Filtres,Filter,Filtros,Filtros,المرشحات,Фильтры,필터,Filtri,फिल्टर,Mga Filter,Filter,ตัวกรอง,Filtreler
TXT_FIND_HERO,Find Hero,Tìm Anh Hùng,寻找英雄,,ヒーローを見つける,Trouver Un Héros,Held Finden,Encontrar Héroe,Encontrar Herói,تجد البطل,Найти Героя,영웅을 찾아라,Trova L'eroe,हीरो ढूंढो,Maghanap Ng Bayani,Temukan Pahlawan,ค้นหาฮีโร่,Kahraman Bul
TXT_FIRST_PURCHASE,First Purchase,Lần Mua Đầu Tiên,第一次购买,第一次購買,初めての購入,Premier Achat,Erster Kauf,Primera Compra,Primeira Compra,أول عملية شراء,Первая Покупка,첫 구매,Primo Acquisto,पहली खरीद,Unang Pagbili,Pembelian Pertama,ซื้อครั้งแรก,Ilk Satın Alma
TXT_FIRST_PURCHASE_BENEFIT,First Purchase Benefit,Lợi Ích Mua Hàng Lần Đầu Tiên,首次购买优惠,首次購買優惠,初回購入特典,Avantage Premier Achat,Erstkaufvorteil,Beneficio De Primera Compra,Benefício Da Primeira Compra,أول فائدة شراء,Выгода От Первой Покупки,첫 구매 혜택,Vantaggio Del Primo Acquisto,पहली खरीद का लाभ,Benepisyo Sa Unang Pagbili,Manfaat Pembelian Pertama,ประโยชน์การซื้อครั้งแรก,Ilk Satın Alma Avantajı
TXT_FIRST_PURCHASE_DESCIPTION,Take advantage of your first purchase now!,Tận dụng lợi thế của mua hàng đầu tiên của bạn ngay bây giờ!,立即利用您的第一次购买！,立即利用您的第一次購買！,今すぐ最初の購入を活用してください!,Profitez dès maintenant de votre premier achat !,Profitieren Sie jetzt von Ihrem ersten Einkauf!,¡Aprovecha tu primera compra ahora!,Aproveite já a sua primeira compra!,استفد من أول عملية شراء الآن!,Воспользуйтесь преимуществами первой покупки прямо сейчас!,지금 첫 구매 혜택을 누리세요!,Approfitta subito del tuo primo acquisto!,अभी अपनी पहली खरीदारी का लाभ उठाएं!,Samantalahin ang iyong unang pagbili ngayon!,Manfaatkan pembelian pertama Anda sekarang!,ใช้ประโยชน์จากการซื้อครั้งแรกของคุณตอนนี้!,Şimdi ilk satın alımınızın avantajlarından yararlanın!
TXT_FIRST_PURCHASE_LIST_DES,All in-app packages (except protection shield) can trigger first purchase rewards!,Tất cả các gói trong ứng dụng (ngoại trừ lá chắn bảo vệ) đều có thể kích hoạt phần thưởng cho lần mua hàng đầu tiên!,所有内包（防护盾除外）均可触发首购奖励！,,すべてのアプリ内パッケージ (保護シールドを除く) で初回購入特典をトリガーできます。,Tous les packages intégrés à l'application (à l'exception du bouclier de protection) peuvent déclencher des récompenses de premier achat !,Alle In-App-Pakete (außer Protection Shield) können Erstkaufprämien auslösen!,¡Todos los paquetes dentro de la aplicación (excepto el escudo de protección) pueden activar recompensas por la primera compra!,Todos os pacotes do aplicativo (exceto escudo de proteção) podem acionar recompensas na primeira compra!,يمكن لجميع الحزم الموجودة داخل التطبيق (باستثناء درع الحماية) الحصول على مكافآت الشراء الأولى!,Все пакеты в приложении (кроме защитного щита) могут активировать награды за первую покупку!,모든 인앱 패키지(보호막 제외)는 첫 구매 보상을 트리거할 수 있습니다!,Tutti i pacchetti in-app (eccetto lo scudo di protezione) possono attivare i premi per il primo acquisto!,सभी इन-ऐप पैकेज (सुरक्षा कवच को छोड़कर) पहली खरीद पुरस्कार को ट्रिगर कर सकते हैं!,Ang lahat ng in-app na package (maliban sa proteksyon na kalasag) ay maaaring mag-trigger ng mga reward sa unang pagbili!,Semua paket dalam aplikasi (kecuali perisai perlindungan) dapat memicu hadiah pembelian pertama!,แพ็คเกจในแอปทั้งหมด (ยกเว้นเกราะป้องกัน) สามารถรับรางวัลการซื้อครั้งแรกได้!,Tüm uygulama içi paketler (koruma kalkanı hariç) ilk satın alma ödüllerini tetikleyebilir!
TXT_FOR_YOU,For You,Dành Cho Bạn,为你,,あなたのために,Pour Toi,Für Dich,Para Ti,Para Você,لك,Для Тебя,당신을 위한,Per Te,आपके लिए,Para Sa Iyo,Untukmu,สำหรับคุณ,Senin Için
TXT_FREE,Free,Miễn Phí,免费,自由的,無料,Gratuit,Frei,Gratis,Livre,حر,Бесплатно,무료,Gratuito,मुक्त,Libre,Bebas,ฟรี,Özgür
TXT_FRIENDLY_MATCH,Friendly Match,Trận Giao Hữu,友谊赛,友誼賽,親善試合,Match Amical,Freundschaftsspiel,Partido Amistoso,Partida Amigável,مباراة ودية,Дружеский Матч,친선 경기,Incontro Amichevole,दोस्ताना मैच,Friendly Match,Pertandingan Persahabatan,นัดกระชับมิตร,Dostluk Maçı
TXT_FRIEND_LIST,Friend list,Danh sách bạn bè,好友列表,,友達リスト,Liste d'amis,Freundesliste,lista de amigos,Lista de amigos,قائمة الأصدقاء,Список друзей,친구 목록,Elenco amici,फ़्रेन्ड लिस्ट,Listahan ng kaibigan,Daftar teman,รายชื่อเพื่อน,Arkadaş listesi
TXT_FROM,From,Từ,从,,から,Depuis,Aus,De,De,من,От,~에서,Da,से,Mula Sa,Dari,จาก,Itibaren
TXT_GET,Get,Lấy,得到,,得る,Obtenir,Erhalten,Conseguir,Pegar,يحصل,Получать,얻다,Ottenere,पाना,Makuha,Mendapatkan,รับ,Elde Etmek
TXT_GET_1,GET,TẶNG,得到,,得る,Obtenir,Erhalten,Conseguir,Pegar,يحصل,Получать,얻다,Ottenere,पाना,Makuha,Mendapatkan,รับ,Elde Etmek
TXT_GET_REWARD,Get Reward,Nhận Phần Thưởng,得到奖励,得到獎勵,報酬を得る,Obtenir Une Récompense,Belohnung Erhalten,Obtener Recompensa,Obter Recompensa,الحصول على مكافأة,Получить Вознаграждение,보상 받다,Ottieni Una Ricompensa,इनाम मिलना,Makakuha Ng Gantimpala,Mendapat Hadiah,ได้รับรางวัล,Ödül Almak
TXT_GLOBAL,Global,Toàn Cầu,全球的,全球的,グローバル,Mondial,Global,Global,Global,عالمي,Глобальный,글로벌,Globale,वैश्विक,Global,Global,ทั่วโลก,Küresel
TXT_GOLD,GOLD,Vàng,金子,金子,金,Or,Gold,Oro,Ouro,ذهب,Золото,금,Oro,सोना,Ginto,Emas,ทอง,Altın
TXT_GO_TO_MARKET,Go to Market,Đi chợ,去市场,,マーケットへ行く,Aller au marché,Gehen Sie zum Markt,Ir al mercado,Vá ao mercado,اذهب إلى السوق,Перейти на рынок,시장으로 이동,Vai al mercato,बाज़ार जाएँ,Pumunta sa Market,Pergi ke Pasar,ไปที่ตลาด,Markete Git
TXT_GO_TO_SHOP,Go to Shop,Đến cửa hàng,去商店,,買い物に行く,Aller Au Magasin,Geh Einkaufen,Ir A Comprar,Ir Fazer Compras,اذهب إلى المتجر,Пойти В Магазин,가게에 가다,Vai Al Negozio,दुकान में जाओ,Pumunta Sa Tindahan,Pergi Berbelanja,ไปที่ร้าน,Alışverişe Git
TXT_GREAT_WIN,Great Win!,Chiến Thắng Tuyệt Vời!,伟大的胜利！,,大勝利！,Belle Victoire !,Toller Sieg!,Gran Victoria!,Grande Vitória!,فوز عظيم!,Отличная Победа!,대단한 승리!,Grande Vittoria!,शानदार जीत!,Malaking Panalo!,Kemenangan Besar!,ชัยชนะที่ยอดเยี่ยม!,Harika Galibiyet!
TXT_GUARDIANS,Guardians,Người Giám Hộ,监护者,監護者,保護者,Tuteurs,Wächter,Guardianes,Guardiões,الأوصياء,Опекуны,보호자,Guardiani,रखवालों,Mga Tagapag-Alaga,Penjaga,ผู้ปกครอง,Veliler
TXT_HALLOFFAME,Hall Of Fame,Đại Sảnh Danh Vọng,名人堂,名人堂,栄誉殿堂,Temple De La Renommée,Ruhmeshalle,Salón De La Fama,Hall Da Fama,قاعة الشهرة,Зал Славы,명예의 전당,Gruppo Di Personaggi Famosi,हॉल ऑफ फेम,Bulwagan Ng Kabantuganan,Ketenaran,หอเกียรติยศ,Onur Listesi
TXT_HALL_OF_FAME,Hall of Fame,Hội trường danh vọng,名人堂,名人堂,栄誉殿堂,Temple de la renommée,Ruhmeshalle,Salón de la Fama,Hall da Fama,قاعة الشهرة,зал славы,명예의 전당,gruppo di personaggi famosi,हॉल ऑफ फेम,bulwagan ng kabantuganan,ketenaran,หอเกียรติยศ,Onur listesi
TXT_HEALER,Healer,Chữa Trị,治疗师,,ヒーラー,Guérisseur,Heiler,Curador,Curador,المعالج,Целитель,치료자,Guaritore,आरोग्य करनेवाला,Manggagamot,Penyembuh,ผู้รักษา,Şifacı
TXT_HEAP_OF_DIAMONDS,Heap Of Diamonds,Đống Kim Cương,堆钻石,,ダイヤモンドの山,Tas De Diamants,Haufen Diamanten,Montón De Diamantes,Monte De Diamantes,كومة من الماس,Куча Бриллиантов,다이아몬드 더미,Mucchio Di Diamanti,हीरों का ढेर,Bunton Ng Mga Diamante,Tumpukan Berlian,กองเพชร,Elmas Yığını
TXT_HERO,Hero,Anh hùng,英雄,英雄,ヒーロー,Héros,Held,Héroe,Herói,بطل,Герой,영웅,Eroe,नायक,Bayani,Pahlawan,ฮีโร่,Kahraman
TXT_HEROES,Heroes,Anh Hùng,英雄,英雄,英雄,Héros,Helden,Héroes,Heróis,الأبطال,Герои,영웅,Eroi,नायकों,Mga Bayani,Pahlawan,วีรบุรุษ,Kahramanlar
TXT_HEROES_ARRANGEMENT,Heroes Arrangement,Sắp Xếp Anh Hùng,英雄安排,英雄安排,ヒーローアレンジメント,Disposition Des Héros,Heldenanordnung,Arreglo De Héroes,Arranjo De Heróis,ترتيب الأبطال,Расположение Героев,영웅 배열,Disposizione Degli Eroi,नायकों की व्यवस्था,Pag-Aayos Ng Mga Bayani,Pengaturan Pahlawan,การจัดฮีโร่,Kahramanlar Düzenlemesi
